Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
100905,Fabaceae,Tachigali beaurepairei (Harms) L.G.Silva & H.C.Lima,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100905
100906,Fabaceae,Tachigali densiflora (Benth.) L.G.Silva & H.C.Lima,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100906
100899,Fabaceae,Senna araucarietorum H.S.Irwin & Barneby,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100899
100908,Fabaceae,Tachigali duckei (Dwyer) Oliveira-Filho,EN,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/100908
100909,Fabaceae,Tachigali friburgensis (Harms) L.G.Silva & H.C.Lima,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100909
10091,Monimiaceae,Mollinedia longifolia Perkins,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10091
100910,Fabaceae,Tachigali paratyensis (Vell.) H.C.Lima,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100910
100911,Fabaceae,Tachigali pilgeriana (Harms) Oliveira-Filho,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100911
100907,Fabaceae,Tachigali denudata (Vogel) Oliveira-Filho,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100907
100913,Fabaceae,Tachigali urbaniana (Harms) L.G.Silva & H.C.Lima,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100913
100912,Fabaceae,Tachigali rugosa (Mart. ex Benth.) Zarucchi & Pipoly,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100912
100918,Fabaceae,Albizia burkartiana Barneby & J.W.Grimes,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100918
100919,Fabaceae,Albizia edwallii (Hoehne) Barneby & J.W.Grimes,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100919
10092,Monimiaceae,Mollinedia luizae Peixoto,DD,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10092
100922,Fabaceae,Enterolobium glaziovii (Benth.) Mesquita,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100922
100923,Fabaceae,Enterolobium monjollo (Vell.) Mart.,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100923
100924,Fabaceae,Inga arenicola T.D.Penn.,DD,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100924
100904,Fabaceae,Senna tropica (Vell.) H.S.Irwin & Barneby,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100904
100925,Fabaceae,Inga bullata Benth.,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100925
100926,Fabaceae,Inga cabelo T.D.Penn.,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100926
100927,Fabaceae,Inga conchifolia L.P.Queiroz,EN,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100927
100928,Fabaceae,Inga cordistipula Mart.,VU,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100928
100930,Fabaceae,Inga enterolobioides T.D.Penn.,CR,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100930
